member_id,gender,visit_last_1mo,visit_last_2mo,visit_last_3mo,spending_last_1mo,spending_last_2mo,spending_last_3mo,age,monthly_income,marital_status,payment_channel,buy_groceries,buy_toiletries,buy_food,buy_electronic,buy_clothes,buy_home_appliances,recency_last_visit,response
237398,Female,4,6,6,207164,170482,157592,25,3172700,Married,Cash,1,1,1,0,0,1,27,0
502009,Female,6,6,2,792577,821678,859218,32,4141600,Married,Cash,0,1,0,0,0,1,5,0
11841,Female,3,3,2,1019203,1058981,1036460,24,5292900,Single,Debit Card,0,1,1,1,0,1,3,0
645389,Female,3,2,1,260765,281803,276175,28,2606600,Single,Credit Card,0,0,1,0,0,0,27,0
225416,Female,3,4,3,956641,899804,814255,27,4520100,Single,Debit Card,0,1,1,0,0,1,1,0
909605,Female,3,2,4,454295,415457,413672,24,7301300,Married,Debit Card,0,1,1,0,1,0,2,1
52795,Female,0,0,1,0,0,447018,31,5302000,Married,Cash,1,1,1,0,0,0,37,0
536887,Male,1,2,2,577327,534312,470981,32,9366900,Married,Cash,0,1,1,0,0,0,19,1
609899,Female,7,4,3,661529,651732,652627,30,13895200,Married,Debit Card,0,0,1,0,0,0,11,1
599263,Female,2,1,0,461273,485364,0,27,9550000,Married,Cash,0,0,0,0,0,0,8,0
394378,Female,6,5,4,570724,570862,495474,27,6132800,Married,Cash,0,0,1,0,0,0,28,1
440873,Female,5,2,6,198611,203043,195667,36,5959400,Married,Debit Card,0,1,1,0,0,0,16,0
311224,Female,7,9,7,604219,654103,615189,28,3062700,Married,Credit Card,0,0,1,0,0,1,4,1
534320,Male,3,3,4,237511,270097,279177,43,3661200,Married,Cash,0,1,1,0,0,1,15,1
622228,Female,4,5,2,305992,330652,335845,32,5961800,Married,Credit Card,1,1,1,0,0,0,14,0
813652,Female,1,1,1,505503,505677,594101,22,6753500,Single,Cash,0,1,1,0,0,0,3,0
302442,Male,1,1,5,306538,314632,294242,33,3217300,Married,Debit Card,0,0,1,0,0,0,28,0
566543,Female,3,2,4,549395,531798,447470,29,2395800,Single,Debit Card,0,1,1,0,0,0,29,1
172166,Female,5,5,1,578749,558831,576726,38,4459100,Married,Cash,0,1,1,0,0,1,21,1
437415,Female,3,4,6,299722,301667,281176,37,5226500,Married,Credit Card,0,1,1,0,0,0,25,0
569305,Female,4,3,0,510433,610902,0,23,4455800,Single,Credit Card,0,0,1,0,0,0,11,0
11937,Female,1,1,4,396000,472502,506685,30,6354300,Married,Cash,0,1,1,0,0,0,28,1
193893,Male,0,2,6,0,221906,234459,25,5463700,Married,Cash,0,1,1,0,0,0,50,0
312080,Male,1,3,6,219443,218097,243365,30,7844700,Single,Credit Card,1,0,1,0,1,1,15,1
745951,Male,3,4,1,442846,416872,434817,29,3914300,Married,Debit Card,1,1,1,1,0,0,21,1
297110,Female,1,0,6,205317,0,173018,23,2293600,Single,Debit Card,0,1,1,0,0,0,21,0
381337,Female,5,6,8,382334,371853,416562,30,3912500,Married,Debit Card,0,1,1,0,0,1,15,1
910638,Female,4,7,6,205285,199722,188318,25,5315100,Married,Debit Card,1,1,1,0,1,0,1,0
651934,Male,2,3,4,381904,459764,490709,32,3615000,Single,Credit Card,0,1,1,0,0,0,27,1
602919,Male,5,7,10,524046,566724,439175,26,3486900,Married,Credit Card,0,1,1,0,0,1,2,1
868643,Female,3,2,4,311973,303367,294223,30,3867800,Single,Credit Card,0,1,0,0,0,0,2,0
240581,Female,0,1,2,0,360837,250574,31,3196000,Married,Cash,0,1,1,0,0,1,44,0
419373,Male,5,4,4,331610,344562,311552,30,7618000,Married,Cash,0,1,1,0,0,1,13,1
4283,Male,3,4,5,807747,716825,738984,39,5575700,Married,Credit Card,0,0,1,0,0,1,17,0
25322,Female,3,2,2,100583,122666,136175,29,8794400,Single,Credit Card,0,1,1,0,0,0,9,0
63379,Male,1,2,3,825638,915265,1114880,33,2094400,Married,Credit Card,0,0,1,0,0,0,15,0
506886,Female,6,6,5,314825,285327,225845,27,4854600,Married,Credit Card,0,0,1,0,0,0,12,0
668414,Female,4,4,3,478114,451256,530215,34,3831900,Single,Credit Card,0,1,1,0,0,0,15,1
548252,Male,1,2,3,609402,537572,555860,36,10268400,Married,Debit Card,0,0,0,0,1,0,19,1
801312,Male,3,3,5,458474,455739,438184,27,6747900,Married,Cash,1,0,1,0,0,1,17,1
98720,Female,4,6,3,305078,352822,377366,24,7923700,Single,Debit Card,0,1,1,1,1,0,19,1
402843,Female,2,1,1,369309,448044,472574,24,4994800,Married,Credit Card,0,0,1,0,0,0,7,1
92144,Male,4,5,3,203703,229067,263378,32,12273900,Married,Credit Card,0,1,1,0,0,0,3,0
210882,Male,4,3,2,413505,374777,390286,29,2925800,Married,Cash,0,1,1,0,0,0,4,1
170677,Female,3,1,2,231777,219179,211994,32,7120300,Married,Cash,1,1,1,0,0,0,17,1
307662,Female,2,4,5,566976,599227,558691,32,5345500,Married,Credit Card,0,1,0,0,0,1,15,1
529282,Female,1,3,2,597769,636269,692502,28,2361600,Single,Cash,0,1,1,0,0,0,2,1
464586,Male,2,3,5,604562,681159,669833,32,1999700,Married,Debit Card,1,1,1,0,0,0,8,0
472452,Male,2,3,6,339892,277691,307889,26,1390500,Married,Credit Card,1,1,1,0,0,1,27,1
427700,Female,4,1,1,400968,382408,399663,35,18517900,Married,Debit Card,0,1,1,0,0,1,25,1
250260,Male,2,4,2,444816,428477,437914,23,2409300,Single,Credit Card,0,1,0,0,0,0,29,1
701292,Male,2,0,3,325621,0,302983,34,3318100,Married,Debit Card,0,1,1,0,0,0,28,0
735653,Female,3,6,2,439893,495982,490526,28,2045800,Single,Cash,1,0,1,0,0,1,7,1
214432,Male,2,2,2,438509,359567,336800,31,4002300,Single,Cash,0,1,1,0,0,0,18,1
625745,Male,6,4,5,199931,208892,225360,21,6429300,Married,Credit Card,0,1,1,0,0,0,7,0
262983,Female,4,3,1,349821,317145,321597,29,3496900,Married,Credit Card,1,1,0,0,1,0,25,0
301190,Male,1,5,7,485729,446465,409925,27,5158900,Married,Credit Card,1,1,0,0,0,0,27,1
171779,Female,3,4,0,233262,223161,0,35,3385700,Married,Cash,0,0,1,0,0,0,12,0
199515,Female,2,7,2,423136,436950,433497,33,5297100,Married,Debit Card,0,0,1,0,0,0,17,1
404038,Female,5,1,2,304226,300824,271461,26,3584400,Married,Debit Card,0,1,1,0,0,0,4,0
928136,Female,6,6,2,305615,273318,272536,25,4345200,Married,Debit Card,0,1,1,0,0,0,3,0
661704,Male,1,2,3,663261,723626,762011,24,7530500,Married,Debit Card,0,1,1,0,0,0,16,0
514375,Male,2,3,1,477144,451870,473898,38,9310500,Single,Credit Card,0,1,1,0,0,0,18,1
78981,Female,3,6,6,1035038,1065459,1072635,33,8149800,Married,Debit Card,0,1,1,0,0,1,9,0
829446,Female,4,3,4,221898,212996,187912,31,8622300,Single,Credit Card,1,1,1,0,0,0,6,0
322871,Male,2,1,2,383021,421515,491557,29,3596100,Single,Cash,0,1,1,0,0,1,7,1
940943,Female,4,3,5,326741,314055,325693,36,7629400,Single,Cash,0,1,1,0,0,1,19,1
854142,Male,1,1,2,230902,253026,245667,50,4091300,Single,Cash,0,1,1,0,0,1,3,0
280658,Female,6,6,6,506304,533084,520512,44,5979400,Married,Debit Card,0,0,1,0,0,0,4,1
67923,Female,1,4,3,317411,348169,379726,39,3016300,Married,Cash,0,1,1,0,0,0,18,0
419866,Female,3,7,6,912065,965350,959518,24,4402300,Single,Debit Card,0,1,0,0,0,0,13,1
720636,Female,1,2,6,316152,313554,255618,37,11092200,Married,Cash,0,1,1,0,0,0,3,0
619225,Male,3,6,9,506525,503035,488920,25,4696200,Single,Debit Card,0,0,1,0,0,0,17,0
445439,Female,3,1,3,390301,392303,365956,31,5309300,Married,Debit Card,0,1,1,0,0,0,18,1
884627,Female,0,0,0,0,0,0,24,5360700,Married,Credit Card,0,1,1,0,0,0,110,0
151232,Female,3,4,4,393839,327786,348323,32,3834800,Married,Cash,1,1,1,0,0,1,29,1
600768,Female,4,7,1,317071,316714,301304,25,2953200,Married,Debit Card,0,0,1,0,0,0,4,1
542032,Female,1,1,1,905273,931014,902961,24,7140700,Married,Credit Card,0,1,1,0,0,0,4,0
347794,Male,2,3,1,832120,771511,695903,27,5386200,Single,Cash,0,1,1,0,0,0,29,0
547765,Female,4,3,6,359470,350163,323604,32,6237100,Single,Credit Card,1,1,0,0,1,0,7,0
918786,Female,2,3,3,420315,368252,331491,29,4322800,Married,Debit Card,0,1,1,1,0,0,17,1
862862,Male,4,1,2,642369,729980,704476,35,5234500,Single,Credit Card,0,1,1,0,0,1,24,0
799657,Male,4,9,6,172979,159759,212157,27,5957200,Single,Cash,0,1,1,0,0,0,13,1
335711,Female,3,2,8,264719,278885,304199,28,4075000,Married,Cash,0,1,0,0,0,0,3,0
317379,Male,3,3,6,329512,278722,264123,25,4841000,Married,Cash,0,1,1,0,0,0,2,0
889803,Female,2,3,2,342351,324572,317183,23,8235100,Single,Credit Card,0,0,1,0,0,0,24,1
136595,Male,5,7,4,423886,451931,377343,23,5369400,Single,Cash,1,1,0,0,0,0,13,1
287516,Female,3,7,4,566801,539324,558386,23,2327000,Married,Debit Card,0,1,1,1,0,0,20,1
434570,Male,3,4,1,274068,324685,365634,28,11874400,Married,Debit Card,0,0,1,0,0,1,0,1
305164,Male,1,1,3,265041,314850,319265,31,3045300,Married,Credit Card,0,1,1,0,0,0,25,0
42387,Female,1,5,3,478792,482875,486879,21,1933800,Single,Credit Card,0,0,1,0,0,0,26,0
65020,Female,4,0,2,154583,0,180100,25,6332100,Single,Cash,0,0,1,0,0,0,4,0
108731,Female,3,5,2,333719,310887,328985,34,5955900,Married,Cash,0,1,1,0,0,1,14,0
946153,Female,6,6,5,270998,284834,281316,30,5239000,Married,Cash,0,1,1,0,0,0,8,0
867723,Female,6,6,3,1142994,1020174,1019559,30,4637100,Single,Debit Card,0,1,1,0,0,1,5,0
451334,Male,9,9,6,463139,453950,506261,30,5285500,Single,Debit Card,1,0,1,0,0,1,1,1
997021,Female,2,2,5,484661,500407,518625,28,2644900,Single,Credit Card,0,1,1,0,0,0,2,1
311928,Male,2,2,4,254735,204310,215944,43,4256100,Married,Cash,0,1,1,0,0,0,10,0
965481,Female,1,6,6,566137,589306,696893,30,8537700,Married,Debit Card,0,1,1,0,1,0,29,1
345593,Female,3,5,1,237456,262258,245467,32,8674000,Married,Debit Card,0,1,1,1,1,0,15,0
